0	1	2	M
0	0	0	812
0	0	1	172
0	0	3	622
0	0	ALL	1606
0	1	2	376
0	1	3	1319
0	1	ALL	1695
0	2	1	374
0	2	2	2190
0	2	ALL	2564
0	3	1	633
0	3	3	98
0	3	ALL	731
0	ALL	0	812
0	ALL	1	1179
0	ALL	2	2566
0	ALL	3	2039
0	ALL	ALL	6596
1	0	1	1301
1	0	2	708
1	0	3	530
1	0	ALL	2539
1	1	0	1693
1	1	1	951
1	1	2	838
1	1	ALL	3482
1	2	0	2339
1	2	1	1537
1	2	3	221
1	2	ALL	4097
1	3	0	809
1	3	1	629
1	3	2	766
1	3	3	341
1	3	ALL	2545
1	ALL	0	4841
1	ALL	1	4418
1	ALL	2	2312
1	ALL	3	1092
1	ALL	ALL	12663
2	0	1	1404
2	0	2	712
2	0	3	2022
2	0	ALL	4138
2	1	0	992
2	1	1	2147
2	1	2	159
2	1	3	1081
2	1	ALL	4379
2	2	0	1307
2	2	1	1877
2	2	2	511
2	2	3	452
2	2	ALL	4147
2	3	0	7
2	3	1	721
2	3	2	3883
2	3	ALL	4611
2	ALL	0	2306
2	ALL	1	6149
2	ALL	2	5265
2	ALL	3	3555
2	ALL	ALL	17275
3	0	0	677
3	0	1	1315
3	0	2	65
3	0	3	1121
3	0	ALL	3178
3	1	0	1053
3	1	1	2038
3	1	2	1602
3	1	3	557
3	1	ALL	5250
3	2	1	1304
3	2	2	306
3	2	3	1069
3	2	ALL	2679
3	3	0	2102
3	3	2	1633
3	3	3	266
3	3	ALL	4001
3	ALL	0	3832
3	ALL	1	4657
3	ALL	2	3606
3	ALL	3	3013
3	ALL	ALL	15108
ALL	0	0	1489
ALL	0	1	4192
ALL	0	2	1485
ALL	0	3	4295
ALL	0	ALL	11461
ALL	1	0	3738
ALL	1	1	5136
ALL	1	2	2975
ALL	1	3	2957
ALL	1	ALL	14806
ALL	2	0	3646
ALL	2	1	5092
ALL	2	2	3007
ALL	2	3	1742
ALL	2	ALL	13487
ALL	3	0	2918
ALL	3	1	1983
ALL	3	2	6282
ALL	3	3	705
ALL	3	ALL	11888
ALL	ALL	0	11791
ALL	ALL	1	16403
ALL	ALL	2	13749
ALL	ALL	3	9699
ALL	ALL	ALL	51642
