0	1	2	3	4	M
0	0	0	0	0	3908
0	0	0	0	1	1709
0	0	0	0	2	2094
0	0	0	0	ALL	7711
0	0	0	1	0	2693
0	0	0	1	1	3251
0	0	0	1	2	1009
0	0	0	1	ALL	6953
0	0	0	2	0	2003
0	0	0	2	1	601
0	0	0	2	2	1393
0	0	0	2	ALL	3997
0	0	0	ALL	0	8604
0	0	0	ALL	1	5561
0	0	0	ALL	2	4496
0	0	0	ALL	ALL	18661
0	0	1	0	0	2759
0	0	1	0	1	2477
0	0	1	0	2	2409
0	0	1	0	ALL	7645
0	0	1	1	0	3626
0	0	1	1	1	1113
0	0	1	1	2	1749
0	0	1	1	ALL	6488
0	0	1	2	0	897
0	0	1	2	1	2288
0	0	1	2	2	686
0	0	1	2	ALL	3871
0	0	1	ALL	0	7282
0	0	1	ALL	1	5878
0	0	1	ALL	2	4844
0	0	1	ALL	ALL	18004
0	0	2	0	0	3249
0	0	2	0	1	2119
0	0	2	0	2	2800
0	0	2	0	ALL	8168
0	0	2	1	0	2134
0	0	2	1	1	3269
0	0	2	1	2	1900
0	0	2	1	ALL	7303
0	0	2	2	0	2886
0	0	2	2	1	2806
0	0	2	2	2	3466
0	0	2	2	ALL	9158
0	0	2	ALL	0	8269
0	0	2	ALL	1	8194
0	0	2	ALL	2	8166
0	0	2	ALL	ALL	24629
0	0	ALL	0	0	9916
0	0	ALL	0	1	6305
0	0	ALL	0	2	7303
0	0	ALL	0	ALL	23524
0	0	ALL	1	0	8453
0	0	ALL	1	1	7633
0	0	ALL	1	2	4658
0	0	ALL	1	ALL	20744
0	0	ALL	2	0	5786
0	0	ALL	2	1	5695
0	0	ALL	2	2	5545
0	0	ALL	2	ALL	17026
0	0	ALL	ALL	0	24155
0	0	ALL	ALL	1	19633
0	0	ALL	ALL	2	17506
0	0	ALL	ALL	ALL	61294
0	1	0	0	0	1619
0	1	0	0	1	2321
0	1	0	0	2	1820
0	1	0	0	ALL	5760
0	1	0	1	0	701
0	1	0	1	1	2731
0	1	0	1	2	2154
0	1	0	1	ALL	5586
0	1	0	2	0	2209
0	1	0	2	1	3956
0	1	0	2	2	4540
0	1	0	2	ALL	10705
0	1	0	ALL	0	4529
0	1	0	ALL	1	9008
0	1	0	ALL	2	8514
0	1	0	ALL	ALL	22051
0	1	1	0	0	572
0	1	1	0	1	788
0	1	1	0	2	470
0	1	1	0	ALL	1830
0	1	1	1	0	2954
0	1	1	1	1	4629
0	1	1	1	2	1254
0	1	1	1	ALL	8837
0	1	1	2	0	1737
0	1	1	2	1	791
0	1	1	2	2	1925
0	1	1	2	ALL	4453
0	1	1	ALL	0	5263
0	1	1	ALL	1	6208
0	1	1	ALL	2	3649
0	1	1	ALL	ALL	15120
0	1	2	0	0	1517
0	1	2	0	1	4370
0	1	2	0	2	1885
0	1	2	0	ALL	7772
0	1	2	1	0	672
0	1	2	1	1	699
0	1	2	1	2	2466
0	1	2	1	ALL	3837
0	1	2	2	0	1934
0	1	2	2	1	4500
0	1	2	2	2	2934
0	1	2	2	ALL	9368
0	1	2	ALL	0	4123
0	1	2	ALL	1	9569
0	1	2	ALL	2	7285
0	1	2	ALL	ALL	20977
0	1	ALL	0	0	3708
0	1	ALL	0	1	7479
0	1	ALL	0	2	4175
0	1	ALL	0	ALL	15362
0	1	ALL	1	0	4327
0	1	ALL	1	1	8059
0	1	ALL	1	2	5874
0	1	ALL	1	ALL	18260
0	1	ALL	2	0	5880
0	1	ALL	2	1	9247
0	1	ALL	2	2	9399
0	1	ALL	2	ALL	24526
0	1	ALL	ALL	0	13915
0	1	ALL	ALL	1	24785
0	1	ALL	ALL	2	19448
0	1	ALL	ALL	ALL	58148
0	2	0	0	0	3678
0	2	0	0	1	1271
0	2	0	0	2	2322
0	2	0	0	ALL	7271
0	2	0	1	0	2088
0	2	0	1	1	1263
0	2	0	1	2	1521
0	2	0	1	ALL	4872
0	2	0	2	0	1553
0	2	0	2	1	2491
0	2	0	2	2	857
0	2	0	2	ALL	4901
0	2	0	ALL	0	7319
0	2	0	ALL	1	5025
0	2	0	ALL	2	4700
0	2	0	ALL	ALL	17044
0	2	1	0	0	1790
0	2	1	0	1	890
0	2	1	0	2	1288
0	2	1	0	ALL	3968
0	2	1	1	0	2480
0	2	1	1	1	2089
0	2	1	1	2	2126
0	2	1	1	ALL	6695
0	2	1	2	0	1704
0	2	1	2	1	775
0	2	1	2	ALL	2479
0	2	1	ALL	0	5974
0	2	1	ALL	1	3754
0	2	1	ALL	2	3414
0	2	1	ALL	ALL	13142
0	2	2	0	0	1191
0	2	2	0	1	4331
0	2	2	0	2	2443
0	2	2	0	ALL	7965
0	2	2	1	0	515
0	2	2	1	1	1903
0	2	2	1	2	1414
0	2	2	1	ALL	3832
0	2	2	2	0	228
0	2	2	2	2	1300
0	2	2	2	ALL	1528
0	2	2	ALL	0	1934
0	2	2	ALL	1	6234
0	2	2	ALL	2	5157
0	2	2	ALL	ALL	13325
0	2	ALL	0	0	6659
0	2	ALL	0	1	6492
0	2	ALL	0	2	6053
0	2	ALL	0	ALL	19204
0	2	ALL	1	0	5083
0	2	ALL	1	1	5255
0	2	ALL	1	2	5061
0	2	ALL	1	ALL	15399
0	2	ALL	2	0	3485
0	2	ALL	2	1	3266
0	2	ALL	2	2	2157
0	2	ALL	2	ALL	8908
0	2	ALL	ALL	0	15227
0	2	ALL	ALL	1	15013
0	2	ALL	ALL	2	13271
0	2	ALL	ALL	ALL	43511
0	ALL	0	0	0	9205
0	ALL	0	0	1	5301
0	ALL	0	0	2	6236
0	ALL	0	0	ALL	20742
0	ALL	0	1	0	5482
0	ALL	0	1	1	7245
0	ALL	0	1	2	4684
0	ALL	0	1	ALL	17411
0	ALL	0	2	0	5765
0	ALL	0	2	1	7048
0	ALL	0	2	2	6790
0	ALL	0	2	ALL	19603
0	ALL	0	ALL	0	20452
0	ALL	0	ALL	1	19594
0	ALL	0	ALL	2	17710
0	ALL	0	ALL	ALL	57756
0	ALL	1	0	0	5121
0	ALL	1	0	1	4155
0	ALL	1	0	2	4167
0	ALL	1	0	ALL	13443
0	ALL	1	1	0	9060
0	ALL	1	1	1	7831
0	ALL	1	1	2	5129
0	ALL	1	1	ALL	22020
0	ALL	1	2	0	4338
0	ALL	1	2	1	3854
0	ALL	1	2	2	2611
0	ALL	1	2	ALL	10803
0	ALL	1	ALL	0	18519
0	ALL	1	ALL	1	15840
0	ALL	1	ALL	2	11907
0	ALL	1	ALL	ALL	46266
0	ALL	2	0	0	5957
0	ALL	2	0	1	10820
0	ALL	2	0	2	7128
0	ALL	2	0	ALL	23905
0	ALL	2	1	0	3321
0	ALL	2	1	1	5871
0	ALL	2	1	2	5780
0	ALL	2	1	ALL	14972
0	ALL	2	2	0	5048
0	ALL	2	2	1	7306
0	ALL	2	2	2	7700
0	ALL	2	2	ALL	20054
0	ALL	2	ALL	0	14326
0	ALL	2	ALL	1	23997
0	ALL	2	ALL	2	20608
0	ALL	2	ALL	ALL	58931
0	ALL	ALL	0	0	20283
0	ALL	ALL	0	1	20276
0	ALL	ALL	0	2	17531
0	ALL	ALL	0	ALL	58090
0	ALL	ALL	1	0	17863
0	ALL	ALL	1	1	20947
0	ALL	ALL	1	2	15593
0	ALL	ALL	1	ALL	54403
0	ALL	ALL	2	0	15151
0	ALL	ALL	2	1	18208
0	ALL	ALL	2	2	17101
0	ALL	ALL	2	ALL	50460
0	ALL	ALL	ALL	0	53297
0	ALL	ALL	ALL	1	59431
0	ALL	ALL	ALL	2	50225
0	ALL	ALL	ALL	ALL	162953
1	0	0	0	0	2051
1	0	0	0	1	2708
1	0	0	0	2	961
1	0	0	0	ALL	5720
1	0	0	1	0	3477
1	0	0	1	1	3669
1	0	0	1	2	981
1	0	0	1	ALL	8127
1	0	0	2	0	1149
1	0	0	2	1	333
1	0	0	2	2	2620
1	0	0	2	ALL	4102
1	0	0	ALL	0	6677
1	0	0	ALL	1	6710
1	0	0	ALL	2	4562
1	0	0	ALL	ALL	17949
1	0	1	0	0	772
1	0	1	0	1	2065
1	0	1	0	2	1572
1	0	1	0	ALL	4409
1	0	1	1	0	1569
1	0	1	1	1	651
1	0	1	1	2	2361
1	0	1	1	ALL	4581
1	0	1	2	0	1236
1	0	1	2	1	2541
1	0	1	2	2	3167
1	0	1	2	ALL	6944
1	0	1	ALL	0	3577
1	0	1	ALL	1	5257
1	0	1	ALL	2	7100
1	0	1	ALL	ALL	15934
1	0	2	0	0	1586
1	0	2	0	1	721
1	0	2	0	2	1045
1	0	2	0	ALL	3352
1	0	2	1	0	1565
1	0	2	1	1	4216
1	0	2	1	2	2169
1	0	2	1	ALL	7950
1	0	2	2	0	2524
1	0	2	2	1	3287
1	0	2	2	2	3439
1	0	2	2	ALL	9250
1	0	2	ALL	0	5675
1	0	2	ALL	1	8224
1	0	2	ALL	2	6653
1	0	2	ALL	ALL	20552
1	0	ALL	0	0	4409
1	0	ALL	0	1	5494
1	0	ALL	0	2	3578
1	0	ALL	0	ALL	13481
1	0	ALL	1	0	6611
1	0	ALL	1	1	8536
1	0	ALL	1	2	5511
1	0	ALL	1	ALL	20658
1	0	ALL	2	0	4909
1	0	ALL	2	1	6161
1	0	ALL	2	2	9226
1	0	ALL	2	ALL	20296
1	0	ALL	ALL	0	15929
1	0	ALL	ALL	1	20191
1	0	ALL	ALL	2	18315
1	0	ALL	ALL	ALL	54435
1	1	0	0	0	3574
1	1	0	0	1	3352
1	1	0	0	2	2767
1	1	0	0	ALL	9693
1	1	0	1	0	2748
1	1	0	1	1	1094
1	1	0	1	2	989
1	1	0	1	ALL	4831
1	1	0	2	0	3251
1	1	0	2	2	3417
1	1	0	2	ALL	6668
1	1	0	ALL	0	9573
1	1	0	ALL	1	4446
1	1	0	ALL	2	7173
1	1	0	ALL	ALL	21192
1	1	1	0	0	2302
1	1	1	0	1	1055
1	1	1	0	2	958
1	1	1	0	ALL	4315
1	1	1	1	0	872
1	1	1	1	1	1655
1	1	1	1	2	3078
1	1	1	1	ALL	5605
1	1	1	2	0	2051
1	1	1	2	1	2412
1	1	1	2	2	2370
1	1	1	2	ALL	6833
1	1	1	ALL	0	5225
1	1	1	ALL	1	5122
1	1	1	ALL	2	6406
1	1	1	ALL	ALL	16753
1	1	2	0	0	3086
1	1	2	0	1	998
1	1	2	0	2	2252
1	1	2	0	ALL	6336
1	1	2	1	0	1843
1	1	2	1	1	1723
1	1	2	1	2	3823
1	1	2	1	ALL	7389
1	1	2	2	0	1284
1	1	2	2	1	555
1	1	2	2	2	4015
1	1	2	2	ALL	5854
1	1	2	ALL	0	6213
1	1	2	ALL	1	3276
1	1	2	ALL	2	10090
1	1	2	ALL	ALL	19579
1	1	ALL	0	0	8962
1	1	ALL	0	1	5405
1	1	ALL	0	2	5977
1	1	ALL	0	ALL	20344
1	1	ALL	1	0	5463
1	1	ALL	1	1	4472
1	1	ALL	1	2	7890
1	1	ALL	1	ALL	17825
1	1	ALL	2	0	6586
1	1	ALL	2	1	2967
1	1	ALL	2	2	9802
1	1	ALL	2	ALL	19355
1	1	ALL	ALL	0	21011
1	1	ALL	ALL	1	12844
1	1	ALL	ALL	2	23669
1	1	ALL	ALL	ALL	57524
1	2	0	0	0	826
1	2	0	0	1	2562
1	2	0	0	2	2677
1	2	0	0	ALL	6065
1	2	0	1	0	4210
1	2	0	1	1	1833
1	2	0	1	2	1427
1	2	0	1	ALL	7470
1	2	0	2	0	2093
1	2	0	2	1	2598
1	2	0	2	2	1076
1	2	0	2	ALL	5767
1	2	0	ALL	0	7129
1	2	0	ALL	1	6993
1	2	0	ALL	2	5180
1	2	0	ALL	ALL	19302
1	2	1	0	0	781
1	2	1	0	1	2573
1	2	1	0	2	1390
1	2	1	0	ALL	4744
1	2	1	1	1	5084
1	2	1	1	2	263
1	2	1	1	ALL	5347
1	2	1	2	0	2465
1	2	1	2	1	2416
1	2	1	2	2	1334
1	2	1	2	ALL	6215
1	2	1	ALL	0	3246
1	2	1	ALL	1	10073
1	2	1	ALL	2	2987
1	2	1	ALL	ALL	16306
1	2	2	0	0	3793
1	2	2	0	1	1947
1	2	2	0	2	1097
1	2	2	0	ALL	6837
1	2	2	1	0	1008
1	2	2	1	1	1706
1	2	2	1	2	2970
