0	1	2	3	4	5	M
0	0	0	0	0	0	1947
0	0	0	0	0	1	1256
0	0	0	0	0	2	2447
0	0	0	0	0	ALL	5650
0	0	0	0	1	0	867
0	0	0	0	1	1	2123
0	0	0	0	1	2	1910
0	0	0	0	1	ALL	4900
0	0	0	0	2	1	1252
0	0	0	0	2	2	314
0	0	0	0	2	ALL	1566
0	0	0	0	ALL	0	2814
0	0	0	0	ALL	1	4631
0	0	0	0	ALL	2	4671
0	0	0	0	ALL	ALL	12116
0	0	0	1	0	0	2003
0	0	0	1	0	1	2316
0	0	0	1	0	2	1913
0	0	0	1	0	ALL	6232
0	0	0	1	1	1	1744
0	0	0	1	1	2	1018
0	0	0	1	1	ALL	2762
0	0	0	1	2	0	753
0	0	0	1	2	1	601
0	0	0	1	2	2	281
0	0	0	1	2	ALL	1635
0	0	0	1	ALL	0	2756
0	0	0	1	ALL	1	4661
0	0	0	1	ALL	2	3212
0	0	0	1	ALL	ALL	10629
0	0	0	2	0	0	1261
0	0	0	2	0	1	2928
0	0	0	2	0	ALL	4189
0	0	0	2	1	0	76
0	0	0	2	1	1	1848
0	0	0	2	1	2	798
0	0	0	2	1	ALL	2722
0	0	0	2	2	0	1089
0	0	0	2	2	1	755
0	0	0	2	2	2	1521
0	0	0	2	2	ALL	3365
0	0	0	2	ALL	0	2426
0	0	0	2	ALL	1	5531
0	0	0	2	ALL	2	2319
0	0	0	2	ALL	ALL	10276
0	0	0	ALL	0	0	5211
0	0	0	ALL	0	1	6500
0	0	0	ALL	0	2	4360
0	0	0	ALL	0	ALL	16071
0	0	0	ALL	1	0	943
0	0	0	ALL	1	1	5715
0	0	0	ALL	1	2	3726
0	0	0	ALL	1	ALL	10384
0	0	0	ALL	2	0	1842
0	0	0	ALL	2	1	2608
0	0	0	ALL	2	2	2116
0	0	0	ALL	2	ALL	6566
0	0	0	ALL	ALL	0	7996
0	0	0	ALL	ALL	1	14823
0	0	0	ALL	ALL	2	10202
0	0	0	ALL	ALL	ALL	33021
0	0	1	0	0	0	1287
0	0	1	0	0	1	939
0	0	1	0	0	ALL	2226
0	0	1	0	1	0	1069
0	0	1	0	1	1	1882
0	0	1	0	1	2	2167
0	0	1	0	1	ALL	5118
0	0	1	0	2	0	3829
0	0	1	0	2	1	209
0	0	1	0	2	2	2259
0	0	1	0	2	ALL	6297
0	0	1	0	ALL	0	6185
0	0	1	0	ALL	1	3030
0	0	1	0	ALL	2	4426
0	0	1	0	ALL	ALL	13641
0	0	1	1	0	0	1419
0	0	1	1	0	1	470
0	0	1	1	0	ALL	1889
0	0	1	1	1	0	1414
0	0	1	1	1	2	408
0	0	1	1	1	ALL	1822
0	0	1	1	2	0	1523
0	0	1	1	2	1	2408
0	0	1	1	2	2	371
0	0	1	1	2	ALL	4302
0	0	1	1	ALL	0	4356
0	0	1	1	ALL	1	2878
0	0	1	1	ALL	2	779
0	0	1	1	ALL	ALL	8013
0	0	1	2	0	0	3827
0	0	1	2	0	1	1846
0	0	1	2	0	2	1887
0	0	1	2	0	ALL	7560
0	0	1	2	1	0	1929
0	0	1	2	1	1	979
0	0	1	2	1	2	1142
0	0	1	2	1	ALL	4050
0	0	1	2	2	0	990
0	0	1	2	2	1	180
0	0	1	2	2	2	2022
0	0	1	2	2	ALL	3192
0	0	1	2	ALL	0	6746
0	0	1	2	ALL	1	3005
0	0	1	2	ALL	2	5051
0	0	1	2	ALL	ALL	14802
0	0	1	ALL	0	0	6533
0	0	1	ALL	0	1	3255
0	0	1	ALL	0	2	1887
0	0	1	ALL	0	ALL	11675
0	0	1	ALL	1	0	4412
0	0	1	ALL	1	1	2861
0	0	1	ALL	1	2	3717
0	0	1	ALL	1	ALL	10990
0	0	1	ALL	2	0	6342
0	0	1	ALL	2	1	2797
0	0	1	ALL	2	2	4652
0	0	1	ALL	2	ALL	13791
0	0	1	ALL	ALL	0	17287
0	0	1	ALL	ALL	1	8913
0	0	1	ALL	ALL	2	10256
0	0	1	ALL	ALL	ALL	36456
0	0	2	0	0	0	1501
0	0	2	0	0	1	1624
0	0	2	0	0	2	344
0	0	2	0	0	ALL	3469
0	0	2	0	1	0	1741
0	0	2	0	1	1	1610
0	0	2	0	1	2	748
0	0	2	0	1	ALL	4099
0	0	2	0	2	0	1619
0	0	2	0	2	1	1479
0	0	2	0	2	2	1188
0	0	2	0	2	ALL	4286
0	0	2	0	ALL	0	4861
0	0	2	0	ALL	1	4713
0	0	2	0	ALL	2	2280
0	0	2	0	ALL	ALL	11854
0	0	2	1	0	0	128
0	0	2	1	0	1	684
0	0	2	1	0	2	880
0	0	2	1	0	ALL	1692
0	0	2	1	1	1	199
0	0	2	1	1	2	1447
0	0	2	1	1	ALL	1646
0	0	2	1	2	0	989
0	0	2	1	2	1	3018
0	0	2	1	2	2	1152
0	0	2	1	2	ALL	5159
0	0	2	1	ALL	0	1117
0	0	2	1	ALL	1	3901
0	0	2	1	ALL	2	3479
0	0	2	1	ALL	ALL	8497
0	0	2	2	0	0	1505
0	0	2	2	0	1	1245
0	0	2	2	0	2	152
0	0	2	2	0	ALL	2902
0	0	2	2	1	0	1284
0	0	2	2	1	1	699
0	0	2	2	1	2	612
0	0	2	2	1	ALL	2595
0	0	2	2	2	0	826
0	0	2	2	2	1	2641
0	0	2	2	2	2	2650
0	0	2	2	2	ALL	6117
0	0	2	2	ALL	0	3615
0	0	2	2	ALL	1	4585
0	0	2	2	ALL	2	3414
0	0	2	2	ALL	ALL	11614
0	0	2	ALL	0	0	3134
0	0	2	ALL	0	1	3553
0	0	2	ALL	0	2	1376
0	0	2	ALL	0	ALL	8063
0	0	2	ALL	1	0	3025
0	0	2	ALL	1	1	2508
0	0	2	ALL	1	2	2807
0	0	2	ALL	1	ALL	8340
0	0	2	ALL	2	0	3434
0	0	2	ALL	2	1	7138
0	0	2	ALL	2	2	4990
0	0	2	ALL	2	ALL	15562
0	0	2	ALL	ALL	0	9593
0	0	2	ALL	ALL	1	13199
0	0	2	ALL	ALL	2	9173
0	0	2	ALL	ALL	ALL	31965
0	0	ALL	0	0	0	4735
0	0	ALL	0	0	1	3819
0	0	ALL	0	0	2	2791
0	0	ALL	0	0	ALL	11345
0	0	ALL	0	1	0	3677
0	0	ALL	0	1	1	5615
0	0	ALL	0	1	2	4825
0	0	ALL	0	1	ALL	14117
0	0	ALL	0	2	0	5448
0	0	ALL	0	2	1	2940
0	0	ALL	0	2	2	3761
0	0	ALL	0	2	ALL	12149
0	0	ALL	0	ALL	0	13860
0	0	ALL	0	ALL	1	12374
0	0	ALL	0	ALL	2	11377
0	0	ALL	0	ALL	ALL	37611
0	0	ALL	1	0	0	3550
0	0	ALL	1	0	1	3470
0	0	ALL	1	0	2	2793
0	0	ALL	1	0	ALL	9813
0	0	ALL	1	1	0	1414
0	0	ALL	1	1	1	1943
0	0	ALL	1	1	2	2873
0	0	ALL	1	1	ALL	6230
0	0	ALL	1	2	0	3265
0	0	ALL	1	2	1	6027
0	0	ALL	1	2	2	1804
0	0	ALL	1	2	ALL	11096
0	0	ALL	1	ALL	0	8229
0	0	ALL	1	ALL	1	11440
0	0	ALL	1	ALL	2	7470
0	0	ALL	1	ALL	ALL	27139
0	0	ALL	2	0	0	6593
0	0	ALL	2	0	1	6019
0	0	ALL	2	0	2	2039
0	0	ALL	2	0	ALL	14651
0	0	ALL	2	1	0	3289
0	0	ALL	2	1	1	3526
0	0	ALL	2	1	2	2552
0	0	ALL	2	1	ALL	9367
0	0	ALL	2	2	0	2905
0	0	ALL	2	2	1	3576
0	0	ALL	2	2	2	6193
0	0	ALL	2	2	ALL	12674
0	0	ALL	2	ALL	0	12787
0	0	ALL	2	ALL	1	13121
0	0	ALL	2	ALL	2	10784
0	0	ALL	2	ALL	ALL	36692
0	0	ALL	ALL	0	0	14878
0	0	ALL	ALL	0	1	13308
0	0	ALL	ALL	0	2	7623
0	0	ALL	ALL	0	ALL	35809
0	0	ALL	ALL	1	0	8380
0	0	ALL	ALL	1	1	11084
0	0	ALL	ALL	1	2	10250
0	0	ALL	ALL	1	ALL	29714
0	0	ALL	ALL	2	0	11618
0	0	ALL	ALL	2	1	12543
0	0	ALL	ALL	2	2	11758
0	0	ALL	ALL	2	ALL	35919
0	0	ALL	ALL	ALL	0	34876
0	0	ALL	ALL	ALL	1	36935
0	0	ALL	ALL	ALL	2	29631
0	0	ALL	ALL	ALL	ALL	101442
0	1	0	0	0	0	1318
0	1	0	0	0	1	1424
0	1	0	0	0	2	1862
0	1	0	0	0	ALL	4604
0	1	0	0	1	0	79
0	1	0	0	1	1	467
0	1	0	0	1	2	909
0	1	0	0	1	ALL	1455
0	1	0	0	2	0	756
0	1	0	0	2	1	2970
0	1	0	0	2	2	1803
0	1	0	0	2	ALL	5529
0	1	0	0	ALL	0	2153
0	1	0	0	ALL	1	4861
0	1	0	0	ALL	2	4574
0	1	0	0	ALL	ALL	11588
0	1	0	1	0	0	929
0	1	0	1	0	1	2296
0	1	0	1	0	2	495
0	1	0	1	0	ALL	3720
0	1	0	1	1	1	1999
0	1	0	1	1	2	1501
0	1	0	1	1	ALL	3500
0	1	0	1	2	0	1292
0	1	0	1	2	1	462
0	1	0	1	2	2	1964
0	1	0	1	2	ALL	3718
0	1	0	1	ALL	0	2221
0	1	0	1	ALL	1	4757
0	1	0	1	ALL	2	3960
0	1	0	1	ALL	ALL	10938
0	1	0	2	0	0	831
0	1	0	2	0	1	3364
0	1	0	2	0	2	192
0	1	0	2	0	ALL	4387
0	1	0	2	1	0	2071
0	1	0	2	1	1	1239
0	1	0	2	1	2	2022
0	1	0	2	1	ALL	5332
