day,dailly_cases
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,1
41,0
42,2
43,11
44,19
45,17
46,96
47,48
48,38
49,28
50,86
51,109
52,144
53,251
54,144
55,477
56,694
57,1359
58,1992
59,3826
60,3072
61,5067
62,6301
63,5515
64,5908
65,7491
66,8245
67,8356
68,7771
69,8253
70,10454
71,15863
72,11682
73,12161
74,11413
75,11976
76,11792
77,9437
78,12074
79,14058
80,13533
81,9834
82,9306
83,9876
84,10350
85,9263
86,10281
87,9984
88,8366
89,7737
90,9078
91,6828
92,6970
93,7904
94,8952
95,10940
96,6524
97,6445
98,5017
99,5327
100,6428
101,6576
102,5406
103,4250
104,5025
105,3844
106,3828
107,4896
108,4356
109,3327
110,2795
111,3135
112,2783
113,2835
114,3655
115,3356
116,3169
117,2395
118,2818
119,2463
120,2195
121,2844
122,2783
123,2471
124,2124
125,1906
126,1845
127,1643
128,1807
129,2200
130,1657
131,1379
132,1650
133,1523
134,1258
135,1594
136,1463
137,1207
138,1011
139,1101
140,949
141,727
142,1049
143,1079
144,865
145,777
146,906
147,719
148,670
149,960
150,1004
151,792
152,749
153,872
154,697
155,688
156,1028
157,1037
158,876
159,684
160,742
161,730
162,774
163,1141
164,1023
165,844
166,837
167,772
168,701
169,799
170,1040
171,1166
172,1004
173,849
174,937
175,1110
176,1020
177,1136
178,1072
179,964
180,738
181,967
182,991
183,846
184,1155
185,1032
186,944
187,771
188,1020
189,861
190,923
191,1151
192,1043
