day,max_temp,avg_temp,min_temp,max_dew,avg_dew,min_dew,max_humid,avg_humid,min_humid,max_wind_speed,avg_wind_speed,min_wind_speed,max_pressure,avg_pressure,min_pressure,precipitation,dailly_cases
1,39,31.45,21,23,14.25,5,61,49.45,38,10,4.15,0,30.5,30.4,30.4,0,0
2,49,38.85,27,29,17.4,10,64,44.55,21,14,5.75,0,30.4,30.35,30.3,0,0
3,48,40.2,33,34,28.05,15,85,63.35,39,13,7.1,0,30.4,30.35,30.3,0,0
4,51,43.55,37,47,38.75,31,93,83.5,67,30,15.25,0,30.3,29.95,29.7,0,0
5,50,43.9,39,46,31.45,24,86,62.7,44,22,12.5,7,29.8,29.7,29.6,1.48,0
6,47,41.55,38,29,27.15,25,65,57.05,44,18,12.85,0,29.7,29.65,29.5,0,0
7,42,39.2,36,27,23.65,19,65,54,41,23,14.7,9,29.9,29.75,29.6,0,0
8,43,35.25,29,20,13.9,2,54,42.6,20,17,11.55,7,30.2,28.8,0,0,1
9,35,29.7,22,23,13.05,5,64,50.6,32,14,7.85,0,30.3,30.3,30.2,0,0
10,46,37.45,29,34,25.3,15,87,63,35,14,7.95,5,30.3,30.3,30.1,0,0
11,41,38.35,35,37,33.25,28,93,82.45,68,8,4.65,0,30.2,29.9,29.6,0.03,0
12,43,38.75,35,34,27.85,20,87,66.55,41,15,7.9,0,29.6,29.55,29.4,0.02,0
13,56,44.35,35,36,29.8,22,89,58.15,39,15,8.9,0,29.9,29.75,29.5,0.05,0
14,58,44.95,36,48,36.35,27,86,72.55,57,13,4.45,0,29.9,29.8,29.7,0,0
15,47,40.1,33,41,25.5,11,82,57.7,37,17,8.35,0,30.1,30,29.8,0.06,0
16,41,37.95,34,38,33.95,18,97,86.25,50,22,12.2,0,30,29.65,29.4,0.79,1
17,57,39.85,30,52,32.95,14,97,78.05,48,41,15.95,3,29.7,29.15,28.6,0.4,0
18,40,32.45,25,26,13,7,75,45.35,33,25,15.35,6,30.4,30.1,29.6,0.42,0
19,42,33,20,32,22.3,7,82,65.55,47,15,9.05,0,30.6,30.45,30.3,0,0
20,47,44.25,39,43,37,28,93,75.95,58,23,11.2,0,30.4,29.65,0,0.05,0
21,47,42.7,40,45,38.75,32,97,86.2,65,20,7.5,0,30.1,29.9,29.7,0.68,0
22,45,41.25,37,32,23.2,18,82,50,35,25,12.1,0,30.2,30.05,29.8,0.29,0
23,43,38.85,35,39,34.05,27,93,83.45,57,25,7.05,0,30,29.7,29.6,0.42,0
24,40,28.5,15,31,8.75,-9,70,44.9,26,28,15.9,6,30.6,30.25,29.8,0.24,0
25,31,22.65,12,16,3.5,-9,58,44.55,29,20,10.2,0,30.6,30.5,30.3,0,0
26,46,37.9,30,28,21.65,15,73,52.9,37,18,8.75,0,30.3,30.1,30,0,0
27,51,42.1,32,28,20.9,11,67,44.55,27,15,8.15,0,30.4,30.2,30.1,0,0
28,45,40,32,41,31.8,11,96,73.55,40,17,10.3,0,30.5,30.15,29.9,0,0
29,47,41.65,32,42,20.3,7,86,45,25,26,14.75,6,30.4,30.15,29.9,0.45,0
30,36,31.05,24,15,7.75,2,50,38.2,29,20,12.7,5,30.5,30.4,30.3,0,0
31,36,27.6,17,9,2.05,-4,55,35.1,20,16,10,5,30.5,30.4,30.2,0,0
32,50,40,30,18,8.25,3,43,28.05,15,15,11.05,5,30.3,30.15,30.1,0,0
33,57,45.7,35,29,16.25,7,51,32.5,15,15,8.5,0,30.2,30.1,30,0,0
34,64,49.25,36,37,25.95,11,66,43.15,16,17,8.15,0,30.1,30,29.9,0,0
35,51,46.95,44,43,40.3,33,93,78.15,52,10,6.1,0,29.9,29.9,29.8,0,0
36,48,45.05,42,43,40.65,37,100,84.65,66,17,9.45,0,30,29.9,29.6,0.55,0
37,55,42.6,32,47,30.1,6,100,65.3,29,33,20.95,6,29.8,29.45,29.1,1.08,0
38,41,34.45,28,13,8.35,4,47,34.25,22,25,17.05,7,29.9,29.75,29.6,0.13,0
39,35,30,22,15,8.2,4,53,40.55,31,24,14.5,7,30.1,29.85,29.7,0,0
